actorId,primaryName,ratings,numVotes,count,averRating,averVote,validCount,p_index,gender,popularity
nm2539953,Alicia Vikander,"[7.7, 6.2, 7.1, 5.5, 7.6, 7.3, 7.0, 7.3, 5.9, 6.2, 6.4, 6.5, 7.2, 5.8, 8.0, 6.6, 7.3, 6.6, 6.1]","[372350, 8158, 125370, 62817, 38322, 20189, 3328, 219729, 2182, 33417, 1901, 22214, 37103, 328, 52, 171035, 1494, 272, 58]",22,5.831818181818181,50923.59090909091,19,3,1,9.242971
nm1046097,Rachel McAdams,"[6.6, 6.1, 5.5, 7.9, 7.0, 7.0, 6.5, 7.1, 7.1, 6.3, 7.0, 7.6, 6.5, 7.5, 5.4, 7.5, 5.9, 7.7, 6.8, 7.8, 7.4, 5.3, 8.1, 6.8, 7.8, 6.4, 7.0]","[1397, 227, 80679, 440587, 277426, 300034, 100544, 125286, 120613, 8428, 12436, 520976, 63538, 385501, 48220, 372204, 23881, 335359, 163089, 44013, 183005, 18768, 308218, 63831, 236034, 39, 279]",28,6.6285714285714326,151236.14285714287,27,18,1,9.174288
nm0000199,Al Pacino,"[7.1, 9.2, 7.3, 7.8, 9.0, 8.0, 5.9, 7.4, 6.4, 6.1, 8.3, 5.2, 6.3, 6.8, 6.1, 7.6, 6.7, 7.8, 8.0, 7.9, 8.2, 6.3, 6.2, 7.3, 7.5, 7.8, 7.9, 6.8, 6.1, 5.5, 7.2, 6.6, 7.1, 5.9, 6.2, 3.4, 6.0, 6.5, 5.1, 5.6, 7.0, 5.6, 5.1, 5.3, 6.8]","[13320, 1308109, 12830, 89630, 902932, 203931, 3199, 25702, 14827, 4451, 607411, 5501, 1264, 32673, 51109, 303783, 24816, 83937, 215182, 176159, 482042, 2948, 17745, 3267, 284716, 243540, 143174, 103026, 54601, 10328, 240120, 120232, 31635, 69406, 39217, 66319, 77375, 48531, 15183, 5392, 25397, 6052, 4148, 11633, 3063]",47,6.465957446808512,131699.06382978722,45,25,2,9.120304
nm0000191,Ewan McGregor,"[7.3, 5.3, 6.7, 7.1, 8.2, 6.4, 6.2, 5.8, 4.9, 7.0, 6.5, 6.6, 7.6, 6.3, 7.0, 6.1, 7.6, 7.7, 6.5, 6.3, 8.0, 6.3, 5.6, 7.9, 6.9, 6.1, 6.9, 7.3, 7.0, 6.4, 6.7, 6.1, 6.7, 5.2, 5.9, 6.6, 5.8, 7.2, 6.2, 6.3, 7.1, 6.8, 5.8, 7.2, 7.6, 7.8, 7.0, 5.9, 9.4, 6.5, 7.3, 5.5, 5.6, 7.1]","[49989, 2264, 11237, 16826, 545175, 31809, 17210, 1419, 13765, 29689, 607616, 531512, 592582, 8408, 14618, 1473, 240954, 320108, 12196, 35703, 374591, 114062, 17614, 1165, 66680, 10507, 278908, 29, 25403, 7610, 46657, 34874, 237777, 1122, 7760, 83808, 10770, 142207, 116563, 116007, 47763, 55795, 76259, 80300, 164579, 1941, 112, 16720, 11, 22214, 76487, 55733, 2712, 287]",58,6.220689655172415,92751.37931034484,54,19,2,9.119134
nm0000170,Milla Jovovich,"[5.1, 5.8, 7.7, 5.9, 6.7, 6.9, 6.4, 6.8, 5.7, 5.9, 5.5, 6.2, 4.4, 6.3, 6.5, 6.5, 5.9, 5.9, 5.4, 5.8, 5.8, 5.2, 6.2, 5.4, 5.6, 3.8, 5.6, 6.4]","[15557, 8570, 378375, 19343, 219891, 38984, 59120, 6032, 7584, 2219, 6352, 167386, 74240, 165245, 60515, 9550, 67115, 145977, 37108, 94807, 16876, 1646, 2386, 118901, 64282, 3099, 25804, 96]",32,5.165625,56783.125,28,4,1,9.092948
nm0785227,Andy Serkis,"[5.6, 5.4, 6.2, 6.1, 6.1, 6.1, 5.6, 5.9, 7.9, 7.4, 7.6, 6.6, 4.9, 7.6, 7.5]","[185, 94, 1509, 136126, 10771, 65594, 376, 1202, 689946, 191546, 449874, 3597, 4986, 366602, 155683]",20,4.824999999999998,103904.55,15,4,2,9.053864
nm0001337,Katherine Heigl,"[5.4, 5.4, 5.1, 3.6, 5.4, 5.9, 5.8, 4.5, 4.2, 7.0, 6.1, 6.6, 5.4, 6.5, 5.3, 5.8, 5.6, 5.4, 5.8, 5.5, 5.0]","[9394, 38830, 1847, 750, 44335, 19315, 32600, 355, 892, 317832, 136093, 105959, 78068, 179394, 36745, 22745, 41680, 11932, 3017, 8203, 8050]",21,5.490476190476191,52287.428571428565,21,3,1,8.889408
nm0000178,Diane Lane,"[7.5, 6.9, 6.1, 6.9, 3.0, 5.8, 7.2, 6.5, 6.7, 5.9, 6.0, 4.7, 5.4, 6.1, 5.6, 6.5, 5.9, 5.8, 6.1, 6.1, 6.0, 6.6, 7.0, 6.4, 6.4, 6.8, 5.8, 6.7, 6.8, 6.6, 5.9, 6.5, 6.0, 7.1, 6.2, 6.0, 7.2, 6.1, 7.5, 5.6, 5.8, 6.4]","[4421, 342, 418, 2004, 835, 2216, 26752, 13858, 14172, 1518, 733, 234, 613, 6540, 588, 4383, 5451, 50099, 814, 25322, 536, 7155, 17660, 141080, 24265, 69, 27554, 69185, 40036, 5816, 27875, 30574, 19290, 606133, 43344, 19859, 22678, 5366, 63175, 5, 4317, 3832]",44,5.956818181818181,30479.931818181816,42,5,1,8.882446
nm0001191,Adam Sandler,"[1.9, 6.1, 6.4, 5.8, 7.0, 6.1, 6.8, 6.4, 5.3, 5.3, 7.3, 5.8, 6.2, 6.8, 6.4, 6.4, 6.4, 7.5, 6.0, 3.4, 7.1, 5.5, 6.1, 6.5, 6.3, 5.6, 6.0, 6.4, 5.6, 5.4, 3.9, 4.8, 6.7, 5.8, 5.7, 7.0, 5.1]","[11172, 40902, 114294, 31630, 169751, 129654, 118292, 175090, 86723, 19361, 122179, 120145, 182838, 288510, 70196, 268259, 142318, 87708, 127717, 66319, 185330, 168883, 77932, 98545, 105358, 77446, 197971, 189259, 109340, 119828, 8, 33846, 76897, 43545, 28203, 20027, 9502]",39,5.610256410256411,100384.05128205127,37,12,2,8.880203
nm0705356,Daniel Radcliffe,"[7.6, 7.4, 7.8, 7.7, 7.5, 7.6, 6.6, 7.7, 8.1, 6.5, 6.8, 6.5, 6.4, 6.0, 6.7, 7.0, 6.5]","[515491, 446004, 441093, 442519, 409293, 374549, 11012, 381262, 628040, 30233, 59711, 65095, 156761, 42484, 21830, 76416, 32846]",24,5.016666666666667,172276.625,17,7,2,8.844077
