actorId,common_movies,connection,primaryName,averRating,p_index,gender,popularity
nm0000949,"['Mowgli', 'Thor: Ragnarok', 'Bandits', 'Thor: Ragnarok', 'Knight of Cups', 'Babel', 'Ponyo', 'The Aviator', ""Ocean's 8"", 'Blue Jasmine', 'Pushing Tin', 'The Good German', 'Thor: Ragnarok', 'Ponyo', 'How to Train Your Dragon 2', 'Indiana Jones and the Kingdom of the Crystal Skull', 'The Gift', 'Mowgli', 'None']","['Andy Serkis', 'Tom Hiddleston', 'Bruce Willis', 'Chris Hemsworth', 'Natalie Portman', 'Brad Pitt', 'Liam Neeson', 'Leonardo DiCaprio', 'Sandra Bullock', 'Sally Hawkins', 'Angelina Jolie', 'George Clooney', 'Mark Ruffalo', 'Matt Damon', 'Gerard Butler', 'Harrison Ford', 'Keanu Reeves', 'Benedict Cumberbatch', 'Cate Blanchett']",Cate Blanchett,5.964583333333335,13,1,11.320837
nm0005458,"['Snatch', 'Mechanic: Resurrection', 'None', 'The Expendables 3', 'Furious 7', 'Spy', 'Homefront', 'Ghosts of Mars', 'London', 'Furious 7', 'Homefront']","['Brad Pitt', 'Jessica Alba', 'Jason Statham', 'Sylvester Stallone', 'Dwayne Johnson', 'Rose Byrne', 'Winona Ryder', 'Ice Cube', 'Chris Evans', 'Vin Diesel', 'James Franco']",Jason Statham,5.499999999999997,12,2,12.331521
nm0001191,"['None', 'Der Weg des Ruhms', 'Jack and Jill', 'Grown Ups', 'Mr. Deeds', 'Der Weg des Ruhms', 'Just Go with It', 'The Meyerowitz Stories (New and Selected)']","['Adam Sandler', 'Penélope Cruz', 'Al Pacino', 'Salma Hayek', 'Winona Ryder', 'Mark Wahlberg', 'Jennifer Aniston', 'Dustin Hoffman']",Adam Sandler,5.610256410256411,12,2,8.880203
nm0000226,"['Suicide Squad 2', 'Wild Wild West', 'Gemini Man', 'Collateral Beauty', 'The Legend of Bagger Vance', 'Men in Black 3', 'Suicide Squad', 'The Legend of Bagger Vance', 'None', 'Shark Tale']","['Dwayne Johnson', 'Salma Hayek', 'Mary Elizabeth Winstead', 'Edward Norton', 'Matt Damon', 'Josh Brolin', 'Jared Leto', 'Charlize Theron', 'Will Smith', 'Angelina Jolie']",Will Smith,5.105882352941176,12,2,9.58187
nm0000237,"['Pulp Fiction', 'Hairspray', 'A Love Song for Bobby Long', 'Pulp Fiction', 'Swordfish', 'Be Cool', 'Lonely Hearts', 'None', ""She's So Lovely"", 'Mad City', 'Lonely Hearts', 'Face/Off']","['Bruce Willis', 'Michelle Pfeiffer', 'Scarlett Johansson', 'Samuel L. Jackson', 'Hugh Jackman', 'Dwayne Johnson', 'Salma Hayek', 'John Travolta', 'Robin Wright', 'Dustin Hoffman', 'Jared Leto', 'Nicolas Cage']",John Travolta,5.549999999999999,12,2,8.809541000000003
nm0000154,"['None', 'Tequila Sunrise', 'Machete Kills', 'Air America', 'The Million Dollar Hotel', 'Conspiracy Theory', ""Daddy's Home 2"", 'The Singing Detective']","['Mel Gibson', 'Michelle Pfeiffer', 'Jessica Alba', 'Robert Downey Jr.', 'Milla Jovovich', 'Julia Roberts', 'Mark Wahlberg', 'Robin Wright']",Mel Gibson,5.871111111111111,12,2,9.872829
nm0000216,"['Terminator 3: Rise of the Machines', 'Kung Fury', 'None', 'Escape Plan', 'Batman & Robin', 'Viy 2: Journey to China']","['Claire Danes', 'Michael Fassbender', 'Arnold Schwarzenegger', 'Sylvester Stallone', 'George Clooney', 'Jackie Chan']",Arnold Schwarzenegger,5.156097560975608,11,2,8.396224
nm0000230,"['Escape Plan', 'Demolition Man', 'The Expendables 3', 'None']","['Arnold Schwarzenegger', 'Sandra Bullock', 'Jason Statham', 'Sylvester Stallone']",Sylvester Stallone,5.3574074074074085,11,2,12.190794
nm0350453,"['Brothers', 'Zodiac', 'Southpaw', 'Nocturnal Animals', 'None', 'End of Watch', 'Prisoners', 'Zodiac', 'The Good Girl', 'Rio', 'Moonlight Mile', 'Highway', 'The Division']","['Natalie Portman', 'Robert Downey Jr.', 'Rachel McAdams', 'Michael Shannon', 'Jake Gyllenhaal', 'Anna Kendrick', 'Hugh Jackman', 'Mark Ruffalo', 'Jennifer Aniston', 'Benedict Cumberbatch', 'Dustin Hoffman', 'Jared Leto', 'Jessica Chastain']",Jake Gyllenhaal,5.511428571428571,11,2,9.761988
nm0000293,"['Ca$h', 'None', 'Patriot Games', 'GoldenEye', 'National Treasure']","['Chris Hemsworth', 'Sean Bean', 'Harrison Ford', 'Pierce Brosnan', 'Nicolas Cage']",Sean Bean,6.110810810810813,11,2,11.796318
