actorId,connection,primaryName,averRating,p_index,gender,popularity
nm0000375,"['Mel Gibson', 'Penélope Cruz', 'Chris Hemsworth', 'Robert Downey Jr.', 'Rachel McAdams', 'Jake Gyllenhaal', 'Scarlett Johansson', 'Mark Ruffalo', 'Winona Ryder', 'Chris Evans', 'Keanu Reeves', 'Robin Wright', 'Dustin Hoffman']",Robert Downey Jr.,5.944,24,2,16.527445
nm0000210,"['J.K. Simmons', 'Mel Gibson', 'Natalie Portman', 'Brad Pitt', 'Jessica Alba', 'Liam Neeson', 'Dakota Fanning', 'Julia Roberts', 'George Clooney', 'Edward Norton', 'Matt Damon', 'Tom Hanks', 'Jennifer Aniston', 'Sam Rockwell', 'Dustin Hoffman', 'Nicolas Cage']",Julia Roberts,5.50408163265306,9,1,9.418409
nm0000949,"['Andy Serkis', 'Tom Hiddleston', 'Bruce Willis', 'Chris Hemsworth', 'Natalie Portman', 'Brad Pitt', 'Liam Neeson', 'Leonardo DiCaprio', 'Sandra Bullock', 'Sally Hawkins', 'Angelina Jolie', 'George Clooney', 'Mark Ruffalo', 'Matt Damon', 'Gerard Butler', 'Harrison Ford', 'Keanu Reeves', 'Benedict Cumberbatch', 'Cate Blanchett']",Cate Blanchett,5.964583333333335,13,1,11.320837
nm0000199,"['Adam Sandler', 'Michelle Pfeiffer', 'Al Pacino', 'Johnny Depp', 'Keanu Reeves', 'Jeremy Irons', 'Charlize Theron']",Al Pacino,6.465957446808512,25,2,9.120303999999999
nm0000198,"['Andy Serkis', 'Bruce Willis', 'Natalie Portman', 'Samuel L. Jackson', 'Milla Jovovich', 'Tom Hardy', 'Gary Oldman', 'Winona Ryder', 'Gerard Butler', 'Harrison Ford', 'Keanu Reeves', 'Robin Wright']",Gary Oldman,6.317021276595745,19,2,13.74303
nm0000093,"['J.K. Simmons', 'Bruce Willis', 'Michelle Pfeiffer', 'Brad Pitt', 'Michael Fassbender', 'Jason Statham', 'Julia Roberts', 'Angelina Jolie', 'George Clooney', 'Edward Norton', 'Matt Damon', 'Morgan Freeman', 'Harrison Ford', 'Tom Cruise', 'Robin Wright', 'Cate Blanchett', 'Jessica Chastain']",Brad Pitt,6.480000000000002,46,2,13.046934
nm0425005,"['Zac Efron', 'Jason Statham', 'Dwayne Johnson', 'John Travolta', 'Will Smith', 'Vin Diesel', 'Mark Wahlberg', 'Jared Leto']",Dwayne Johnson,4.06222222222222,3,2,17.492743
nm0000242,"['J.K. Simmons', 'Adam Sandler', 'Mel Gibson', 'Penélope Cruz', 'Leonardo DiCaprio', 'Diane Lane', 'George Clooney', 'Dwayne Johnson', 'Rose Byrne', 'Edward Norton', 'Matt Damon', 'Ice Cube', 'Mark Wahlberg', 'Jennifer Aniston', 'Charlize Theron']",Mark Wahlberg,5.742222222222222,17,2,11.390505000000001
nm0000154,"['Mel Gibson', 'Michelle Pfeiffer', 'Jessica Alba', 'Robert Downey Jr.', 'Milla Jovovich', 'Julia Roberts', 'Mark Wahlberg', 'Robin Wright']",Mel Gibson,5.871111111111111,12,2,9.872829
nm0000113,"['Ben Affleck', 'Michelle Pfeiffer', 'Liam Neeson', 'Sandra Bullock', 'Samuel L. Jackson', 'Daniel Craig', 'Sylvester Stallone', 'George Clooney', 'Tom Hanks', 'Keanu Reeves', 'Cate Blanchett']",Sandra Bullock,5.417777777777778,9,1,9.474703
nm0000148,"['Michelle Pfeiffer', 'Brad Pitt', 'Rachel McAdams', 'Sean Bean', 'Daniel Craig', 'Gary Oldman', 'Harrison Ford', 'Sean Connery', 'Cate Blanchett']",Harrison Ford,6.761363636363638,34,2,14.419894000000001
nm0000178,"['Ben Affleck', 'Liam Neeson', 'Michael Shannon', 'Diane Lane', 'Dakota Fanning', 'George Clooney', 'Chris Evans', 'Mark Wahlberg', 'Henry Cavill', 'Keanu Reeves']",Diane Lane,5.956818181818181,5,1,8.882446
nm0000201,"['Jennifer Lawrence', 'Claire Danes', 'Mel Gibson', 'Bruce Willis', 'Michelle Pfeiffer', 'Brad Pitt', 'Sandra Bullock', 'Dakota Fanning', 'George Clooney', 'Al Pacino', 'John Travolta', 'Johnny Depp', 'Jennifer Jason Leigh', 'Winona Ryder', 'Harrison Ford', 'Robin Wright', 'Sean Connery', 'Eva Green']",Michelle Pfeiffer,6.2953488372093025,9,1,8.444419
