actorId,connection,common_movies
nm0000899,"['nm0000246', 'nm0000899', 'nm0000354', 'nm0000151']","['Tears of the Sun', 'None', 'The Brothers Grimm', 'Under Suspicion']"
nm0000492,"['nm0000201', 'nm0000204', 'nm0000168', 'nm0749263', 'nm0000492']","['A Thousand Acres', 'Annihilation', 'The Hateful Eight', 'In the Cut', 'None']"
nm0000234,"['nm0068338', 'nm0785227', 'nm0000255', 'nm0004851', 'nm1165110', 'nm0383603', 'nm0000553', 'nm0829576', 'nm1055413', 'nm0362766', 'nm0000199', 'nm1631269', 'nm0000136', 'nm0001570', 'nm0000354', 'nm0000226', 'nm0000242', 'nm0000158', 'nm0000206', 'nm0000234', 'nm0564215', 'nm1567113', 'nm0000115']","['Astro Boy', 'Flarsky', 'Reindeer Games', 'Head in the Clouds', ""The Huntsman: Winter's War"", 'Astro Boy', 'A Million Ways to Die in the West', 'Snow White and the Huntsman', 'Prometheus', 'Mad Max: Fury Road', ""The Devil's Advocate"", 'Dark Places', ""The Astronaut's Wife"", 'The Italian Job', 'The Legend of Bagger Vance', 'Hancock', 'The Italian Job', 'That Thing You Do!', 'Sweet November', 'None', 'Atomic Blonde', ""The Huntsman: Winter's War"", 'Astro Boy']"
nm0424060,"['nm0000204', 'nm0000375', 'nm0424060', 'nm0000168', 'nm0413168', 'nm0000191', 'nm0000237', 'nm0000354', 'nm0000151', 'nm0262635', 'nm0000163']","['The Other Boleyn Girl', 'Captain America: Civil War', 'None', 'Captain America: The Winter Soldier', 'Scoop', 'The Island', 'A Love Song for Bobby Long', 'We Bought a Zoo', 'Lucy', 'Captain America: The Winter Soldier', 'Chef']"
nm0001191,"['nm0001191', 'nm0004851', 'nm0000199', 'nm0000161', 'nm0000213', 'nm0000242', 'nm0000098', 'nm0000163']","['None', 'Der Weg des Ruhms', 'Jack and Jill', 'Grown Ups', 'Mr. Deeds', 'Der Weg des Ruhms', 'Just Go with It', 'The Meyerowitz Stories (New and Selected)']"
nm0000255,"['nm0799777', 'nm0000255', 'nm0000246', 'nm1046097', 'nm0000113', 'nm0000178', 'nm0000168', 'nm0447695', 'nm0000354', 'nm0000151', 'nm0147147', 'nm0005377', 'nm0000460', 'nm0000234']","['The Batman', 'None', 'Armageddon', 'State of Play', 'Forces of Nature', 'Hollywoodland', 'Changing Lanes', 'The Accountant', 'Good Will Hunting', 'The Sum of All Fears', 'Justice League Part Two', 'Glory Daze', 'The Batman', 'Reindeer Games']"
nm0000098,"['nm0001191', 'nm0350453', 'nm0447695', 'nm0000210', 'nm0749263', 'nm0124930', 'nm0000151', 'nm0004874', 'nm0000242', 'nm0000098']","['Just Go with It', 'The Good Girl', 'Cake', ""Mother's Day"", 'Rumor Has It...', 'The Bounty Hunter', 'Bruce Almighty', 'The Iron Giant', 'Rock Star', 'None']"
nm0001401,"['nm0000093', 'nm0001401', 'nm0000136', 'nm0000354', 'nm0000213', 'nm0124930', 'nm0000226', 'nm0000151', 'nm0000329', 'nm0000705', 'nm0000163', 'nm0000949', 'nm0564215', 'nm0000115']","['By the Sea', 'None', 'The Tourist', 'The Good Shepherd', 'Girl, Interrupted', 'Lara Croft Tomb Raider: The Cradle of Life', 'Shark Tale', 'Wanted', 'Kung Fu Panda 2', 'Beowulf', 'Kung Fu Panda', 'Pushing Tin', 'Wanted', 'Gone in Sixty Seconds']"
nm0000293,"['nm1165110', 'nm0000293', 'nm0000148', 'nm0000112', 'nm0000115']","['Ca$h', 'None', 'Patriot Games', 'GoldenEye', 'National Treasure']"
nm0749263,"['nm0785227', 'nm1089991', 'nm1165110', 'nm0000375', 'nm1046097', 'nm0000138', 'nm0350453', 'nm0749263', 'nm0000354', 'nm0000492', 'nm0262635', 'nm0000129', 'nm0000098', 'nm0000949']","['13 Going on 30', 'Thor: Ragnarok', 'Thor: Ragnarok', 'Zodiac', 'Spotlight', 'Shutter Island', 'Zodiac', 'None', 'Margaret', 'In the Cut', 'Avengers: Age of Ultron', 'Collateral', 'Rumor Has It...', 'Thor: Ragnarok']"
nm0000204,"['nm1089991', 'nm1165110', 'nm0000204', 'nm0000553', 'nm1055413', 'nm0350453', 'nm0424060', 'nm0000168', 'nm0000210', 'nm0000191', 'nm0000198', 'nm0000492', 'nm0000213', 'nm0000163', 'nm0000949', 'nm0290556']","['Thor', 'Thor', 'None', 'Star Wars: Episode I - The Phantom Menace', 'Song to Song', 'Brothers', 'The Other Boleyn Girl', 'Star Wars: Episode III - Revenge of the Sith', 'Closer', 'Star Wars: Episode II - Attack of the Clones', 'Léon: The Professional', 'Annihilation', 'Black Swan', ""Mr. Magorium's Wonder Emporium"", 'Knight of Cups', 'Your Highness']"
nm0362766,"['nm0000138', 'nm0000198', 'nm0000234', 'nm0185819', 'nm0362766']","['The Revenant', 'Child 44', 'Mad Max: Fury Road', 'Layer Cake', 'None']"
nm0413168,"['nm1374980', 'nm0350453', 'nm0413168', 'nm0000191', 'nm0799777', 'nm0000237', 'nm0424060', 'nm0564215']","['The Greatest Showman', 'Prisoners', 'None', 'Deception', 'The Front Runner', 'Swordfish', 'Scoop', 'X-Men: Days of Future Past']"
nm0000123,"['nm0000201', 'nm0000093', 'nm0000216', 'nm0000113', 'nm0000178', 'nm0447695', 'nm0000210', 'nm0000123', 'nm0000191', 'nm0000354', 'nm0000982', 'nm0001084', 'nm0000242', 'nm0005377', 'nm0000949']","['One Fine Day', ""Ocean's Eleven"", 'Batman & Robin', 'Gravity', 'The Perfect Storm', 'Up in the Air', ""Ocean's Eleven"", 'None', 'The Men Who Stare at Goats', ""Ocean's Eleven"", 'Hail, Caesar!', 'Three Kings', 'Three Kings', 'Confessions of a Dangerous Mind', 'The Good German']"
nm0000138,"['nm0000132', 'nm0000136', 'nm0749263', 'nm0000460', 'nm0000354', 'nm0000949', 'nm0000242', 'nm0000158', 'nm0000138', 'nm0362766']","['Romeo + Juliet', ""What's Eating Gilbert Grape"", 'Shutter Island', 'The Man in the Iron Mask', 'The Departed', 'The Aviator', 'The Departed', 'Catch Me If You Can', 'None', 'The Revenant']"
