actorId,primaryName,validCount,averRating,averVote
nm0945094,Elena Yakovleva,21,6.028571428571429,181.47619047619048
nm2854433,Daniel Antivilo,11,6.072727272727272,181.45454545454547
nm3557375,Shine Tom Chacko,20,5.38,181.45
nm0865571,Gianmarco Tognazzi,25,5.731999999999999,181.4
nm0490614,Shun Lau,11,5.9,181.36363636363637
nm0825315,Bonnie Steiger,3,3.433333333333333,181.33333333333334
nm7676538,Ji-hye Kwak,3,5.366666666666667,181.33333333333334
nm0067217,Ankie Beilke,3,4.366666666666666,181.33333333333334
nm4731843,Ralf Chiu,3,4.833333333333333,181.33333333333334
nm0684465,Horst Pinnow,3,7.0,181.33333333333334
nm0851422,Sven-Bertil Taube,12,5.3,181.33333333333334
nm0522206,Ahmed Louxor,7,6.214285714285714,181.28571428571428
nm0761664,Nadia Sanders,7,5.714285714285714,181.28571428571428
nm0568757,George 'Spanky' McFarland,4,6.65,181.25
nm0096684,Pia Borgli,4,5.3500000000000005,181.25
nm0862584,Alessandro Tiberi,5,5.699999999999999,181.2
nm0621197,Shin'yô Nara,5,6.720000000000001,181.2
nm0101603,Lombardo Boyar,5,5.680000000000001,181.2
nm0317561,Fabrizio Gifuni,17,6.435294117647059,181.11764705882354
nm0898062,Carmina Villaroel,10,6.44,181.0
nm0427262,Sylvie Joly,3,5.266666666666667,181.0
nm3029960,Egy Fedly,6,7.383333333333333,181.0
nm0028007,Tuca Andrada,7,5.414285714285714,181.0
nm5237679,Alaine Huntington,4,4.725,181.0
nm0159079,Shan Cong,7,6.471428571428572,181.0
nm1992865,Niklas Kohrt,3,5.766666666666667,181.0
nm0419663,Jayalakshmi,6,7.783333333333334,181.0
nm0781728,Melissa Mars,3,4.6000000000000005,181.0
nm0901427,Vicky Volioti,6,6.3500000000000005,181.0
nm0739124,Lina Romay,73,5.03698630136986,180.91780821917808
nm1232282,Eduardo España,8,5.975,180.875
nm0020703,Judith Allen,21,6.390476190476191,180.85714285714286
nm0476821,Aleksandr Kuznetsov,7,6.128571428571428,180.85714285714286
nm0940199,Joan Woodbury,28,5.892857142857143,180.82142857142858
nm0525154,Laurette Luez,5,4.9399999999999995,180.8
nm0605059,Terence Morgan,22,6.131818181818181,180.77272727272728
nm3127051,Olivia Holt,4,6.3,180.75
nm0852834,Marjorie Taylor,4,5.824999999999999,180.75
nm0828288,Brinke Stevens,27,4.829629629629629,180.74074074074073
nm1015531,Ruby,7,5.642857142857143,180.71428571428572
nm0168275,Sorin Cocis,3,6.466666666666666,180.66666666666666
nm0012776,Kurosh Afsharpanah,3,6.0,180.66666666666666
nm0495519,Ivan Lebedeff,6,5.6499999999999995,180.66666666666666
nm0607525,Max Morrow,3,5.166666666666667,180.66666666666666
nm2971390,Girish Kulkarni,6,7.416666666666667,180.66666666666666
nm0874646,Zemfira Tsakhilova,3,5.6000000000000005,180.66666666666666
nm0017358,Ángel Alcázar,9,5.58888888888889,180.66666666666666
nm2112040,Galen Howard,3,6.466666666666666,180.66666666666666
nm0114790,Timothy Brown,6,4.1,180.66666666666666
nm3576327,Wei Gan,3,5.066666666666666,180.66666666666666
nm1212698,Gary Condes,3,4.633333333333334,180.66666666666666
nm0657992,Andrea Palma,15,6.780000000000001,180.66666666666666
nm4122772,Nadine Lustre,6,5.616666666666666,180.66666666666666
nm0941298,Robert Woolsey,22,6.381818181818181,180.54545454545453
nm4719034,Yuvraj Hans,6,7.066666666666666,180.5
nm5758954,Seika Furuhata,6,6.083333333333333,180.5
nm1271794,Gajala,16,5.40625,180.5
nm0681927,Jack Pickford,11,6.954545454545453,180.45454545454547
nm0405974,Christiane Hörbiger,20,5.694999999999999,180.45
nm0033837,Leila Arcieri,7,5.028571428571429,180.42857142857142
nm0443585,Vangelis Kazan,27,5.962962962962963,180.40740740740742
nm0429563,Leen Jongewaard,5,6.2,180.4
nm0045138,Shamili,10,6.55,180.4
nm0683477,Maniyanpilla Raju,45,6.224444444444444,180.35555555555555
nm0753516,Ivan Ryzhov,17,6.788235294117647,180.35294117647058
nm0690514,Mercè Pons,3,5.466666666666666,180.33333333333334
nm0030150,Heather Ankeny,3,6.533333333333334,180.33333333333334
nm4337367,Anna Chuancheun,9,5.544444444444444,180.33333333333334
nm0480718,Gabriele Lafari,3,5.8,180.33333333333334
nm0205602,Ursula Davis,3,5.3999999999999995,180.33333333333334
nm0005306,Pauley Perrette,3,6.033333333333334,180.33333333333334
nm0218490,Katherine DeMille,9,6.2333333333333325,180.33333333333334
nm0113640,Gilbert Glenn Brown,3,5.533333333333334,180.33333333333334
nm4962201,Giovanni Gallo,3,6.866666666666667,180.33333333333334
nm4535401,Jithan Ramesh,3,3.266666666666667,180.33333333333334
nm0872300,Annika Tretow,3,6.2,180.33333333333334
nm1717682,Sarah Prikryl,3,5.633333333333333,180.33333333333334
nm1135096,Iben Akerlie,3,6.366666666666667,180.33333333333334
nm0891713,Babette van Veen,3,5.766666666666666,180.33333333333334
nm0427389,Sam Jones III,3,6.633333333333333,180.33333333333334
nm0084225,Thor Bishopric,3,7.366666666666666,180.33333333333334
nm0001341,Florence Henderson,3,4.666666666666667,180.33333333333334
nm3263781,William Wai-Ting Chan,11,5.163636363636364,180.27272727272728
nm0266073,Franca Faldini,4,6.449999999999999,180.25
nm0745598,Senne Rouffaer,5,6.459999999999999,180.2
nm0323384,Mary Glynne,10,6.530000000000001,180.2
nm0998201,Osamu Tsuruoka,5,6.1,180.2
nm1597362,Shreya Reddy,6,6.233333333333334,180.16666666666666
